ID,名前,Tier,価格,効果タイプ,効果値,説明,グループ,アイコン
count_gacha_coin_1,チケットの重み I,1,4000,count_gacha_coin,0.01,"所持チケット10枚につき追加コイン +10%",収集ボーナス,inventory_2
count_gacha_coin_2,チケットの重み II,2,15000,count_gacha_coin,0.025,"所持チケット10枚につき追加コイン +25%",収集ボーナス,inventory_2
count_gacha_coin_3,チケットの重み III,3,40000,count_gacha_coin,0.05,"所持チケット10枚につき追加コイン +50%",収集ボーナス,inventory_2
count_gacha_coin_4,チケットの重み 極,4,120000,count_gacha_coin,0.1,"所持チケット10枚につき追加コイン +100%",収集ボーナス,inventory_2
count_gacha_sell_1,券の価値 I,1,3000,count_gacha_sell,0.05,"所持ガチャチケ数に応じて売却価格UP(小)",収集ボーナス,inventory_2
count_gacha_sell_2,券の価値 II,2,12000,count_gacha_sell,0.1,"所持ガチャチケ数に応じて売却価格UP(中)",収集ボーナス,inventory_2
count_gacha_sell_3,券の価値 III,3,40000,count_gacha_sell,0.2,"所持ガチャチケ数に応じて売却価格UP(大)",収集ボーナス,inventory_2
count_gacha_sell_4,券の価値 極,4,60000,count_gacha_sell,0.35,"所持ガチャチケ数に応じて売却価格UP(超)",収集ボーナス,inventory_2
count_skill_power_1,マナの共鳴 I,1,3000,count_skill_power,0.5,"所持スキル数に応じてパワーUP(小)",収集ボーナス,inventory_2
count_skill_power_2,マナの共鳴 II,2,12000,count_skill_power,1,"所持スキル数に応じてパワーUP(中)",収集ボーナス,inventory_2
count_skill_power_3,マナの共鳴 III,3,40000,count_skill_power,2,"所持スキル数に応じてパワーUP(大)",収集ボーナス,inventory_2
count_skill_power_4,マナの共鳴 極,4,60000,count_skill_power,3.5,"所持スキル数に応じてパワーUP(超)",収集ボーナス,inventory_2
